era;harvB;prodB;greenB;yellowB;blueB;purpleB;FWhiteB;FBlackB;FOrangB;FUncB;flag;description
1;0;0;0;0;0;0;0;0;0;0;oneRockWoodMalus;description1;122
1;0;0;0;0;0;0;0;0;0;0;oneMPMalus;description2;123
1;0;0;0;0;0;0;0;0;0;0;oneServantMalus;description3;124
1;0;0;0;0;0;0;0;0;0;0;oneCoinMalus;description4;125
1;0;-3;0;0;0;0;0;0;0;0;none;description5;126
1;0;0;0;0;0;0;-1;-1;-1;0;none;description6;127
1;-3;0;0;0;0;0;0;0;0;0;none;description7;128
2;0;0;0;0;0;0;0;0;0;0;skipFirstActionMalus;description8;129
2;0;0;0;0;0;0;0;0;0;0;doubleServantMalus;description9;130
2;0;0;0;0;-4;0;0;0;0;0;none;description10;131
2;0;0;-4;0;0;0;0;0;0;0;none;description11;132
2;0;0;0;-4;0;0;0;0;0;0;none;description12;133
2;0;0;0;0;0;0;0;0;0;0;cannotUseMarketMalus;description13;134
2;0;0;0;0;0;-4;0;0;0;0;none;description14;135
3;0;0;0;0;0;0;0;0;0;0;noGreenVP;description15;136
3;0;0;0;0;0;0;0;0;0;0;noPurpleVP;description16;137
3;0;0;0;0;0;0;0;0;0;0;noBlueVP;description17;138
3;0;0;0;0;0;0;0;0;0;0;loseOneVPEveryFive;description18;139
3;0;0;0;0;0;0;0;0;0;0;loseOneVPEveryRes;description19;140
3;0;0;0;0;0;0;0;0;0;0;loseOneVPEveryWoodStoneYellowCost;description20;141
3;0;0;0;0;0;0;0;0;0;0;loseOneVPEveryMP;description21;142
