number;name;era;wood;stone;coin;servants;VP;MP;FP;councilbonus;harvSTRcond;Hwood;Hstone;Hcoin;Hservants;HVP;HMP;HFP;Hcouncilbonus
1;Avamposto Commerciale;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
2;Bosco;1;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0
3;Borgo;1;0;0;0;0;0;0;0;0;3;0;0;1;1;0;0;0;0
4;Cava di Ghiaia;1;0;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0
5;Foresta;1;1;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;0
6;Monastero;1;0;0;0;1;0;2;0;0;6;0;1;0;0;0;0;1;0
7;Rocca;1;0;0;0;0;0;0;0;0;5;0;1;0;0;0;2;0;0
8;Citta;1;0;0;3;0;0;0;0;0;6;0;0;0;0;0;0;0;1
9;Miniera d'oro;2;0;0;1;0;0;0;0;0;1;0;0;2;0;0;0;0;0
10;Villaggio Montano;2;0;0;0;1;0;0;0;0;3;2;0;0;0;0;1;0;0
11;Villaggio Minerario;2;0;1;0;2;5;6;0;0;4;0;2;0;1;0;0;0;0
12;Cava di Pietra;2;1;0;0;0;0;0;0;0;3;0;3;0;0;0;0;0;0
13;Possedimento;2;1;0;0;2;0;0;0;0;4;2;0;1;0;0;0;0;0
14;Eremo;2;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0
15;Maniero;2;0;0;0;0;0;0;0;0;5;0;0;0;2;0;2;0;0
16;Ducato;2;0;0;4;0;0;0;0;0;6;2;1;1;0;0;0;0;0
17;Citta Mercantile;3;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0
18;Tenuta;3;1;0;0;0;1;0;0;0;3;2;0;0;0;2;0;0;0
19;Colonia;3;0;0;0;0;0;2;0;0;5;1;0;0;0;4;0;0;0
20;Cava di Marmo;3;0;0;0;0;3;0;0;0;2;0;2;0;0;1;0;0;0
21;Provincia;3;0;1;0;0;0;0;0;1;6;0;1;0;0;4;0;0;0
22;Santuario;3;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0
23;Castello;3;0;0;2;0;2;0;0;0;4;0;0;0;1;0;3;0;0
24;Citta Fortificata;3;0;0;0;1;0;2;0;0;2;0;0;0;2;0;1;0;0
